s.no,topic,title,url
116,Assembly Language,Assembly Language Adventures: Complete Course,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/x86-asm-foundations/
117,Assembly Language,x86-64 Assembly Language Programming with Ubuntu,http://www.egr.unlv.edu/~ed/assembly64.pdf
118,Assembly Language,Easy 6502,http://skilldrick.github.io/easy6502/index.html
119,Assembly Language,Programming and Computer Science using Assembly Language,http://savannah.nongnu.org/projects/pgubook/
120,Assembly Language,Assembly Language Adventures,https://www.xorpd.net/pages/x86_adventures.html
121,AWS,AWS Essentials,https://www.schoolofdevops.net/p/aws-essentials
122,AWS,Amazon EC2 - AWS Documentation,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html
123,AWS,AWS Certified Solutions Architect - Associate 2018,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-solutions-architect-associate/
124,AWS,AWS Certified Developer - Associate 2017,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-certified-developer-associate/
125,AWK,Awk - A Tutorial and Introduction,http://www.grymoire.com/Unix/Awk.html
126,AWK,Why you should learn just a little Awk,http://gregable.com/2010/09/why-you-should-know-just-little-awk.html
127,AWK,The GNU Awk User’s Guide,https://www.gnu.org/software/gawk/manual/gawk.html
128,Assembly Language,Assembly Language for Beginners,https://yurichev.com/writings/AL4B-EN.pdf
129,Assembly Language,Linux Assembler for C programmers,https://www.intuit.ru/studies/courses/3537/779/info
130,AWK,Awk Tutorials,https://www.tecmint.com/category/awk-command/
131,AWK,An Awk Primer,https://en.wikibooks.org/wiki/An_Awk_Primer
132,AWK,Steve's Awk Academy ,http://www.troubleshooters.com/codecorn/awk/index.htm
133,Assembly Language,The Art of Assembly Language Programming,http://www.plantation-productions.com/Webster/www.artofasm.com/index.html
134,Assembly Language,Reverse Engineering for Beginners,http://beginners.re/#lite
135,AWS,AWS CloudFormation Master Class,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/aws-cloudformation-master-class/
136,Blockchain Programming,Blockchain Real World Projects ,https://www.packtpub.com/big-data-and-business-intelligence/blockchain-real-world-projects-video
137,Blockchain Programming,IBM Blockchain Foundation for Developers,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/ibm-blockchain-essentials-for-developers
138,Blockchain Programming,Blockchain A-Z: Learn How To Build Your First Blockchain,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/build-your-blockchain-az
139,Blockchain Programming,The Blockchain Explained to Web Developers Part 1: The Theory,https://marmelab.com/blog/2016/04/28/blockchain-for-web-developers-the-theory.html
140,Blockchain Programming,Creating a Cryptocurrency in the Crystal Programming Language,https://www.toptal.com/blockchain/crystal-programming-language-tutorial
141,Bitcoin,Cryptocurrency For Dummies Course: Ethereum vs Bitcoin and Much More,https://www.bitdegree.org/course/introduction-to-cryptocurrencies
142,Bitcoin,BTC101: Intro to Bitcoin,https://courses.blockgeeks.com/course/btc101-intro-bitcoin
143,Bitcoin,Introduction to Digital Currencies,https://digitalcurrency.unic.ac.cy/free-introductory-mooc/
144,Bitcoin,Bitcoin and Cryptocurrency Technologies Online Course,https://www.youtube.com/channel/UCNcSSleedtfyDuhBvOQzFzQ/videos
145,Bitcoin,Bitcoin Resources,http://lopp.net/bitcoin.html
146,Bitcoin,Bitcoin Overview,https://www.khanacademy.org/economics-finance-domain/core-finance/money-and-banking/bitcoin/v/bitcoin-what-is-it
147,Bitcoin,Технологии криптовалют,https://www.intuit.ru/studies/courses/3643/885/info
148,Bitcoin,Blockchain and Bitcoin Fundamentals,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/blockchain-and-bitcoin-fundamentals/
149,Bitcoin,Bitcoin and Cryptocurrency Technologies,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=40328&murl=https://www.coursera.org/learn/cryptocurrency
150,Bitcoin,Mastering Bitcoin: Programming the Open Blockchain,https://www.amazon.com/Mastering-Bitcoin-Programming-Open-Blockchain/dp/1491954388?tag=hackr-20
151,Backbone.js,Learn Backbone.js from Scratch,https://click.linksynergy.com/deeplink?id=jU79Zysihs4&mid=39197&murl=https://www.udemy.com/backbonejs-tutorial/
152,Backbone.js, Introduction to Backbone.js ,https://www.youtube.com/playlist?list=PLCE344BDBD8FAC282
153,Backbone.js,Backbone Tutorial by Creativity Tuts,https://www.youtube.com/watch?v=zGu7tkqPRpA
154,Backbone.js,Understanding Backbone.js – Simple Example,https://bardevblog.wordpress.com/2012/01/16/understanding-backbone-js-simple-example/
155,Backbone.js,Simple ToDo Application in Backbone.js,http://backbonejs.org/docs/todos.html
156,Blockchain Programming,Blockchain Fundamentals,https://www.pluralsight.com/courses/blockchain-fundamentals
157,Blockchain Programming,Blockchain By Example,https://www.packtpub.com/big-data-and-business-intelligence/blockchain-example
158,Blockchain Programming,Работа с Ethereum,https://www.intuit.ru/studies/courses/3630/872/info
159,Blockchain Programming,Введение в криптовалюты и блокчейн,https://www.intuit.ru/studies/courses/3443/685/info
160,Blockchain Programming,Основы блокчейн и криптовалюты,https://www.intuit.ru/studies/courses/3660/902/info
161,Backbone.js,Introduction to Backbone.js,http://www.joezimjs.com/javascript/introduction-to-backbone-js-part-1-models-video-tutorial/
162,Backbone.js,BackboneJS Tutorial,http://www.tutorialspoint.com/backbonejs/index.htm
163,Backbone.js,Developing Backbone.js Applications by By Addy Osmani,http://addyosmani.github.io/backbone-fundamentals/
164,Backbone.js,Getting Started With BackboneJS Tutorial Online,https://www.eduonix.com/courses/Web-Development/Getting-Started-With-BackboneJS-Tutorial-Online
